"number","name","type1","type2","total","hp","attack","defense","sp_attack","sp_defense","speed","generation","legendary"
848,"Toxel","Electric","Poison",242,40,38,35,54,35,40,8,FALSE
239,"Elekid","Electric","",360,45,63,37,65,55,95,2,FALSE
53,"Alolan Persian","Dark","",440,65,60,60,75,65,115,7,FALSE
539,"Sawk","Fighting","",465,75,125,75,30,75,85,5,FALSE
844,"Gigantamax Sandaconda","Ground","",510,72,107,125,65,70,71,8,FALSE
413,"Wormadam Plant Cloak","Bug","Grass",424,60,59,85,79,105,36,4,FALSE
243,"Raikou","Electric","",580,90,85,75,115,100,115,2,TRUE
256,"Combusken","Fire","Fighting",405,60,85,60,85,60,55,3,FALSE
823,"Corviknight","Flying","Steel",495,98,87,105,53,85,67,8,FALSE
13,"Weedle","Bug","Poison",195,40,35,30,20,20,50,1,FALSE
291,"Ninjask","Bug","Flying",456,61,90,45,50,50,160,3,FALSE
107,"Hitmonchan","Fighting","",455,50,105,79,35,110,76,1,FALSE
713,"Avalugg","Ice","",514,95,117,184,44,46,28,6,FALSE
765,"Oranguru","Normal","Psychic",490,90,60,80,90,110,60,7,FALSE
865,"Sirfetch'd","Fighting","",507,62,135,95,68,82,65,8,FALSE
626,"Bouffalant","Normal","",490,95,110,95,40,95,55,5,FALSE
171,"Lanturn","Water","Electric",460,125,58,58,76,76,67,2,FALSE
784,"Kommo-o","Dragon","Fighting",600,75,110,125,100,105,85,7,FALSE
585,"Deerling","Normal","Grass",335,60,60,50,40,50,75,5,FALSE
557,"Dwebble","Bug","Rock",325,50,65,85,35,35,55,5,FALSE
381,"Latios","Dragon","Psychic",600,80,90,80,130,110,110,3,TRUE
522,"Blitzle","Electric","",295,45,60,32,50,32,76,5,FALSE
364,"Sealeo","Ice","Water",410,90,60,70,75,70,45,3,FALSE
264,"Linoone","Normal","",420,78,70,61,50,61,100,3,FALSE
174,"Igglybuff","Normal","Fairy",210,90,30,15,40,20,15,2,FALSE
310,"Manectric","Electric","",475,70,75,60,105,60,105,3,FALSE
31,"Nidoqueen","Poison","Ground",505,90,92,87,75,85,76,1,FALSE
674,"Pancham","Fighting","",348,67,82,62,46,48,43,6,FALSE
49,"Venomoth","Bug","Poison",450,70,65,60,90,75,90,1,FALSE
715,"Noivern","Flying","Dragon",535,85,70,80,97,80,123,6,FALSE
479,"Heat Rotom","Electric","Fire",520,50,65,107,105,107,86,4,FALSE
850,"Sizzlipede","Fire","Bug",305,50,65,45,50,50,45,8,FALSE
711,"Gourgeist Large Size","Ghost","Grass",494,75,95,122,58,75,69,6,FALSE
779,"Bruxish","Water","Psychic",475,68,105,70,70,70,92,7,FALSE
687,"Malamar","Dark","Psychic",482,86,92,88,68,75,73,6,FALSE
52,"Meowth","Normal","",290,40,45,35,40,40,90,1,FALSE
640,"Virizion","Grass","Fighting",580,91,90,72,90,129,108,5,TRUE
28,"Sandslash","Ground","",450,75,100,110,45,55,65,1,FALSE
194,"Wooper","Water","Ground",210,55,45,45,25,25,15,2,FALSE
301,"Delcatty","Normal","",380,70,65,65,55,55,70,3,FALSE
246,"Larvitar","Rock","Ground",300,50,64,50,45,50,41,2,FALSE
115,"Mega Kangaskhan","Normal","",590,105,125,100,60,100,100,1,FALSE
300,"Skitty","Normal","",260,50,45,45,35,35,50,3,FALSE
675,"Pangoro","Fighting","Dark",495,95,124,78,69,71,58,6,FALSE
548,"Petilil","Grass","",280,45,35,50,70,50,30,5,FALSE
681,"Aegislash Shield Forme","Steel","Ghost",520,60,50,150,50,150,60,6,FALSE
229,"Houndoom","Dark","Fire",500,75,90,50,110,80,95,2,FALSE
658,"Greninja","Water","Dark",530,72,95,67,103,71,122,6,FALSE
540,"Sewaddle","Bug","Grass",310,45,53,70,40,60,42,5,FALSE
293,"Whismur","Normal","",240,64,51,23,51,23,28,3,FALSE
62,"Poliwrath","Water","Fighting",510,90,95,95,70,90,70,1,FALSE
553,"Krookodile","Ground","Dark",519,95,117,80,65,70,92,5,FALSE
610,"Axew","Dragon","",320,46,87,60,30,40,57,5,FALSE
817,"Drizzile","Water","",420,65,60,55,95,55,90,8,FALSE
306,"Mega Aggron","Steel","",630,70,140,230,60,80,50,3,FALSE
43,"Oddish","Grass","Poison",320,45,50,55,75,65,30,1,FALSE
170,"Chinchou","Water","Electric",330,75,38,38,56,56,67,2,FALSE
142,"Mega Aerodactyl","Rock","Flying",615,80,135,85,70,95,150,1,FALSE
223,"Remoraid","Water","",300,35,65,35,65,35,65,2,FALSE
60,"Poliwag","Water","",300,40,50,40,40,40,90,1,FALSE
517,"Munna","Psychic","",292,76,25,45,67,55,24,5,FALSE
55,"Golduck","Water","",500,80,82,78,95,80,85,1,FALSE
340,"Whiscash","Water","Ground",468,110,78,73,76,71,60,3,FALSE
234,"Stantler","Normal","",465,73,95,62,85,65,85,2,FALSE
652,"Chesnaught","Grass","Fighting",530,88,107,122,74,75,64,6,FALSE
745,"Lycanroc Dusk Forme","Rock","",487,75,117,65,55,65,110,7,FALSE
339,"Barboach","Water","Ground",288,50,48,43,46,41,60,3,FALSE
649,"Genesect","Bug","Steel",600,71,120,95,120,95,99,5,TRUE
211,"Qwilfish","Water","Poison",430,65,95,75,55,55,85,2,FALSE
884,"Gigantamax Duraludon","Steel","Dragon",535,70,95,115,120,50,85,8,FALSE
560,"Scrafty","Dark","Fighting",488,65,90,115,45,115,58,5,FALSE
480,"Uxie","Psychic","",580,75,75,130,75,130,95,4,TRUE
18,"Mega Pidgeot","Normal","Flying",579,83,80,80,135,80,121,1,FALSE
558,"Crustle","Bug","Rock",475,70,95,125,65,75,45,5,FALSE
283,"Surskit","Bug","Water",269,40,30,32,50,52,65,3,FALSE
475,"Gallade","Psychic","Fighting",518,68,125,65,65,115,80,4,FALSE
380,"Mega Latias","Dragon","Psychic",700,80,100,120,140,150,110,3,TRUE
381,"Mega Latios","Dragon","Psychic",700,80,130,100,160,120,110,3,TRUE
482,"Azelf","Psychic","",580,75,125,70,125,70,115,4,TRUE
90,"Shellder","Water","",305,30,65,100,45,25,40,1,FALSE
142,"Aerodactyl","Rock","Flying",515,80,105,65,60,75,130,1,FALSE
841,"Flapple","Grass","Dragon",485,70,110,80,95,60,70,8,FALSE
808,"Meltan","Steel","",300,46,65,65,55,35,34,0,TRUE
136,"Flareon","Fire","",525,65,130,60,95,110,65,1,FALSE
686,"Inkay","Dark","Psychic",288,53,54,53,37,46,45,6,FALSE
855,"Polteageist","Ghost","",508,60,65,65,134,114,70,8,FALSE
609,"Chandelure","Ghost","Fire",520,60,55,90,145,90,80,5,FALSE
54,"Psyduck","Water","",320,50,52,48,65,50,55,1,FALSE
800,"Dawn Wings Necrozma","Psychic","Ghost",680,97,113,109,157,127,77,7,TRUE
36,"Clefable","Fairy","",483,95,70,73,95,90,60,1,FALSE
145,"Galarian Zapdos","Fighting","Flying",580,90,125,90,85,90,100,8,TRUE
555,"Galarian Darmanitan Zen Mode","Ice","Fire",540,105,160,55,30,55,135,8,FALSE
645,"Landorus Therian Forme","Ground","Flying",600,89,145,90,105,80,91,5,TRUE
569,"Garbodor","Poison","",474,80,95,82,60,82,75,5,FALSE
351,"Castform","Normal","",420,70,70,70,70,70,70,3,FALSE
20,"Raticate","Normal","",413,55,81,60,50,70,97,1,FALSE
262,"Mightyena","Dark","",420,70,90,70,60,60,70,3,FALSE
112,"Rhydon","Ground","Rock",485,105,130,120,45,45,40,1,FALSE
51,"Alolan Dugtrio","Ground","Steel",425,35,100,60,50,70,110,7,FALSE
347,"Anorith","Rock","Bug",355,45,95,50,40,50,75,3,FALSE
710,"Pumpkaboo Average Size","Ghost","Grass",335,49,66,70,44,55,51,6,FALSE
549,"Lilligant","Grass","",480,70,60,75,110,75,90,5,FALSE
358,"Chimecho","Psychic","",425,65,50,70,95,80,65,3,FALSE
878,"Cufant","Steel","",330,72,80,49,40,49,40,8,FALSE
869,"Gigantamax Alcremie","Fairy","",495,65,60,75,110,121,64,8,FALSE
57,"Primeape","Fighting","",455,65,105,60,60,70,95,1,FALSE
309,"Electrike","Electric","",295,40,45,40,65,40,65,3,FALSE
296,"Makuhita","Fighting","",237,72,60,30,20,30,25,3,FALSE
34,"Nidoking","Poison","Ground",505,81,102,77,85,75,85,1,FALSE
639,"Terrakion","Rock","Fighting",580,91,129,90,72,90,108,5,TRUE
242,"Blissey","Normal","",540,255,10,10,75,135,55,2,FALSE
464,"Rhyperior","Ground","Rock",535,115,140,130,55,55,40,4,FALSE
81,"Magnemite","Electric","Steel",325,25,35,70,95,55,45,1,FALSE
117,"Seadra","Water","",440,55,65,95,95,45,85,1,FALSE
72,"Tentacool","Water","Poison",335,40,40,35,50,100,70,1,FALSE
349,"Feebas","Water","",200,20,15,20,10,55,80,3,FALSE
437,"Bronzong","Steel","Psychic",500,67,89,116,79,116,33,4,FALSE
678,"Meowstic Female","Psychic","",466,74,48,76,83,81,104,6,FALSE
650,"Chespin","Grass","",313,56,61,65,48,45,38,6,FALSE
440,"Happiny","Normal","",220,100,5,5,15,65,30,4,FALSE
783,"Hakamo-o","Dragon","Fighting",420,55,75,90,65,70,65,7,FALSE
385,"Jirachi","Steel","Psychic",600,100,100,100,100,100,100,3,TRUE
245,"Suicune","Water","",580,100,75,115,90,115,85,2,TRUE
399,"Bidoof","Normal","",250,59,45,40,35,40,31,4,FALSE
843,"Silicobra","Ground","",315,52,57,75,35,50,46,8,FALSE
531,"Mega Audino","Normal","Fairy",545,103,60,126,80,126,50,5,FALSE
814,"Raboot","Fire","",420,65,86,60,55,60,94,8,FALSE
372,"Shelgon","Dragon","",420,65,95,100,60,50,50,3,FALSE
516,"Simipour","Water","",498,75,98,63,98,63,101,5,FALSE
774,"Minior Meteor Forme","Rock","Flying",440,60,60,100,60,100,60,7,FALSE
76,"Golem","Rock","Ground",495,80,120,130,55,65,45,1,FALSE
87,"Dewgong","Water","Ice",475,90,70,80,70,95,70,1,FALSE
302,"Sableye","Dark","Ghost",380,50,75,75,65,65,50,3,FALSE
449,"Hippopotas","Ground","",330,68,72,78,38,42,32,4,FALSE
12,"Gigantamax Butterfree","Bug","Flying",395,60,45,50,90,80,70,1,FALSE
596,"Galvantula","Bug","Electric",472,70,77,60,97,60,108,5,FALSE
166,"Ledian","Bug","Flying",390,55,35,50,55,110,85,2,FALSE
489,"Phione","Water","",480,80,80,80,80,80,80,4,TRUE
873,"Frosmoth","Ice","Bug",475,70,65,60,125,90,65,8,FALSE
320,"Wailmer","Water","",400,130,70,35,70,35,60,3,FALSE
224,"Octillery","Water","",480,75,105,75,105,75,45,2,FALSE
718,"Zygarde Complete Forme","Dragon","Ground",708,216,100,121,91,95,85,6,TRUE
164,"Noctowl","Normal","Flying",442,100,50,50,76,96,70,2,FALSE
694,"Helioptile","Electric","Normal",289,44,38,33,61,43,70,6,FALSE
196,"Espeon","Psychic","",525,65,65,60,130,95,110,2,FALSE
638,"Cobalion","Steel","Fighting",580,91,90,129,90,72,108,5,TRUE
578,"Duosion","Psychic","",370,65,40,50,125,60,30,5,FALSE
471,"Glaceon","Ice","",525,65,60,110,130,95,65,4,FALSE
123,"Scyther","Bug","Flying",500,70,110,80,55,80,105,1,FALSE
230,"Kingdra","Water","Dragon",540,75,95,95,95,95,85,2,FALSE
894,"Regieleki","Electric","",580,80,100,50,100,50,200,8,TRUE
834,"Drednaw","Water","Rock",485,90,115,90,48,68,74,8,FALSE
286,"Breloom","Grass","Fighting",460,60,130,80,60,60,70,3,FALSE
542,"Leavanny","Bug","Grass",500,75,103,80,70,80,92,5,FALSE
58,"Growlithe","Fire","",350,55,70,45,70,50,60,1,FALSE
597,"Ferroseed","Grass","Steel",305,44,50,91,24,86,10,5,FALSE
396,"Starly","Normal","Flying",245,40,55,30,30,30,60,4,FALSE
373,"Salamence","Dragon","Flying",600,95,135,80,110,80,100,3,FALSE
367,"Huntail","Water","",485,55,104,105,94,75,52,3,FALSE
460,"Mega Abomasnow","Grass","Ice",594,90,132,105,132,105,30,4,FALSE
139,"Omastar","Rock","Water",495,70,60,125,115,70,55,1,FALSE
387,"Turtwig","Grass","",318,55,68,64,45,55,31,4,FALSE
28,"Alolan Sandslash","Ice","Steel",450,75,100,120,25,65,65,7,FALSE
149,"Dragonite","Dragon","Flying",600,91,134,95,100,100,80,1,FALSE
429,"Mismagius","Ghost","",495,60,60,60,105,105,105,4,FALSE
304,"Aron","Steel","Rock",330,50,70,100,40,40,30,3,FALSE
669,"Flabébé","Fairy","",303,44,38,39,61,79,42,6,FALSE
88,"Grimer","Poison","",325,80,80,50,40,50,25,1,FALSE
114,"Tangela","Grass","",435,65,55,115,100,40,60,1,FALSE
445,"Garchomp","Dragon","Ground",600,108,130,95,80,85,102,4,FALSE
450,"Hippowdon","Ground","",525,108,112,118,68,72,47,4,FALSE
589,"Escavalier","Bug","Steel",495,70,135,105,60,105,20,5,FALSE
830,"Eldegoss","Graass","",460,60,50,90,80,120,60,8,FALSE
884,"Duraludon","Steel","Dragon",535,70,95,115,120,50,85,8,FALSE
829,"Gossifleur","Grass","",250,40,40,60,40,60,10,8,FALSE
544,"Whirlipede","Bug","Poison",360,40,55,99,40,79,47,5,FALSE
657,"Frogadier","Water","",405,54,63,52,83,56,97,6,FALSE
105,"Alolan Marowak","Fire","Ghost",425,60,80,110,50,80,45,7,FALSE
554,"Galarian Darumaka","Ice","",315,70,90,45,15,45,50,8,FALSE
514,"Simisear","Fire","",498,75,98,63,98,63,101,5,FALSE
651,"Quilladin","Grass","",405,61,78,95,56,58,57,6,FALSE
263,"Galarian Zigzagoon","Dark","Normal",240,38,30,41,30,41,60,8,FALSE
507,"Herdier","Normal","",370,65,80,65,35,65,60,5,FALSE
146,"Moltres","Fire","Flying",580,90,100,90,125,85,90,1,TRUE
877,"Morpeko Hangry Mode","Electric","Dark",436,58,95,58,70,58,97,8,FALSE
726,"Torracat","Fire","",420,65,85,50,80,50,90,7,FALSE
573,"Cinccino","Normal","",470,75,95,60,65,60,115,5,FALSE
68,"Machamp","Fighting","",505,90,130,80,65,85,55,1,FALSE
327,"Spinda","Normal","",360,60,60,60,60,60,60,3,FALSE
253,"Grovyle","Grass","",405,50,65,45,85,65,95,3,FALSE
663,"Talonflame","Fire","Flying",499,78,81,71,74,69,126,6,FALSE
872,"Snom","Ice","Bug",185,30,25,35,45,30,20,8,FALSE
849,"Toxitricity Low Key Forme","Electric","Poison",502,75,98,70,114,70,75,8,FALSE
311,"Plusle","Electric","",405,60,50,40,85,75,95,3,FALSE
527,"Woobat","Psychic","Flying",313,55,45,43,55,43,72,5,FALSE
82,"Magneton","Electric","Steel",465,50,60,95,120,70,70,1,FALSE
209,"Snubbull","Fairy","",300,60,80,50,40,40,30,2,FALSE
248,"Tyranitar","Rock","Dark",600,100,134,110,95,100,61,2,FALSE
10,"Caterpie","Bug","",195,45,30,35,20,20,45,1,FALSE
45,"Vileplume","Grass","Poison",490,75,80,85,110,90,50,1,FALSE
487,"Giratina Altered Forme","Ghost","Dragon",680,150,100,120,100,120,90,4,TRUE
302,"Mega Sableye","Dark","Ghost",480,50,85,125,85,115,20,3,FALSE
678,"Meowstic Male","Psychic","",466,74,48,76,83,81,104,6,FALSE
190,"Aipom","Normal","",360,55,70,55,40,55,85,2,FALSE
772,"Type: Null","Normal","",534,95,95,95,95,95,59,7,FALSE
1,"Bulbasaur","Grass","Poison",318,45,49,49,65,65,45,1,FALSE
656,"Froakie","Water","",314,41,56,40,62,44,71,6,FALSE
165,"Ledyba","Bug","Flying",265,40,20,30,40,80,55,2,FALSE
214,"Heracross","Bug","Fighting",500,80,125,75,40,95,85,2,FALSE
160,"Feraligatr","Water","",530,85,105,100,79,83,78,2,FALSE
395,"Empoleon","Water","Steel",530,84,86,88,111,101,60,4,FALSE
643,"Reshiram","Dragon","Fire",680,100,120,100,150,120,90,5,TRUE
846,"Arrokuda","Water","",280,41,63,40,40,30,66,8,FALSE
738,"Vikavolt","Bug","Electric",500,77,70,90,145,75,43,7,FALSE
